latitude,longitude,primary_type,dist_to_stadium_km
41.946299844,-87.733234148,BATTERY,13.425784981827919
41.851505828,-87.727536202,ASSAULT,9.257535873882679
41.763625742,-87.560182233,BATTERY,11.930054240805429
41.837891205,-87.657625141,BATTERY,4.342464721417176
41.969035858,-87.659105472,BATTERY,12.376284584238684
41.745001426,-87.607489257,BATTERY,13.065331635306576
41.772327807,-87.618655624,BATTERY,10.00576396676626
42.018421333,-87.684517272,BATTERY,18.243624429211483
41.783155236,-87.661137052,ASSAULT,9.53978373858481
41.726219145,-87.567294437,HOMICIDE,15.676015124317876
41.857619964,-87.70907307,BATTERY,7.667605410453782
41.702038254,-87.565131679,ASSAULT,18.32609330582589
41.883078679,-87.651225883,ASSAULT,3.675671380592911
41.870047887,-87.664097247,ASSAULT,4.018289708334476
41.948260381,-87.649516872,BATTERY,9.936693947452797
41.925444772,-87.753732322,BATTERY,13.339767497605926
41.857978675,-87.727372333,BATTERY,9.177950048845252
41.673158764,-87.619028965,ASSAULT,21.032432791112328
41.90707646,-87.63967773,BATTERY,5.329903718537844
41.941780292,-87.63974279,ASSAULT,9.04121781724275
41.925444772,-87.753732322,BATTERY,13.339767497605926
41.780439401,-87.603727666,ASSAULT,9.165737194361961
41.725362894,-87.568114188,BATTERY,15.750429769752
41.771068348,-87.583799955,BATTERY,10.504498759641479
41.88135673,-87.764894052,BATTERY,12.452114705328015
41.738538504,-87.550220349,BATTERY,14.823983376104312
41.899854117,-87.711633525,BATTERY,8.899847675609276
41.827231219,-87.610101785,ASSAULT,3.937588503230634
41.968384165,-87.714927933,ASSAULT,14.325025891522335
41.880450435,-87.62773031,BATTERY,2.215271427796169
41.754592961,-87.741528537,ASSAULT,15.826463647141967
41.89612605,-87.723658397,ASSAULT,9.620859334916952
41.873907046,-87.725430093,BATTERY,9.095431278977248
41.830954079,-87.630703226,BATTERY,3.6734440450594597
41.751420646,-87.592486791,ASSAULT,12.49149015811426
41.779975054,-87.630937377,BATTERY,9.229829539470979
41.895877613,-87.706566627,BATTERY,8.324403554483512
41.662759265,-87.642631938,BATTERY,22.291921400595715
41.85075701,-87.719850075,ASSAULT,8.6387702111221
41.785014658,-87.612068766,ASSAULT,8.602302025206207
41.880929722,-87.709591684,BATTERY,7.965550040134886
41.876607964,-87.627644063,BATTERY,1.830956218939225
41.744137853,-87.660851618,BATTERY,13.639186356974534
41.750800252,-87.602744104,BATTERY,12.45204971499371
41.997287795,-87.717289573,ASSAULT,17.162236591162554
41.857988682,-87.654117214,ASSAULT,3.135581905362371
41.864583447,-87.686497178,BATTERY,5.785550512104117
41.92696133,-87.749742479,BATTERY,13.15144675320182
41.74752981,-87.546747062,BATTERY,14.01727262227408
41.900244689,-87.62417713,BATTERY,4.26442373927631
41.875155116,-87.667906709,BATTERY,4.474589684420414
41.917029086,-87.796238313,BATTERY,16.059362089118896
41.899234239,-87.767975288,ASSAULT,13.180054414813776
41.933780135,-87.777269865,ASSAULT,15.4852153480466
41.902365801,-87.716854733,BATTERY,9.412567653187066
41.733851031,-87.608750572,ASSAULT,14.298067190842504
41.863196881,-87.614817819,BATTERY,0.18504143378989363
41.781536719,-87.613233346,BATTERY,8.985060364489923
41.974861952,-87.890372151,BATTERY,25.87249845182034
41.799461412,-87.596206318,BATTERY,7.19068159632443
41.757379936,-87.623131628,ASSAULT,11.678750353545226
41.74519462,-87.58583056,ASSAULT,13.270535326306481
41.85314952,-87.671805398,ASSAULT,4.67579174479924
41.804022532,-87.675791679,BATTERY,8.12163243345847
41.773112453,-87.623933252,BATTERY,9.93530150545441
