game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,bears_win
2011_06_MIN_CHI,2011,REG,6,2011-10-16,Sunday,20:20,MIN,10,CHI,39,Home,29,49,1.0
2011_07_CHI_TB,2011,REG,7,2011-10-23,Sunday,13:00,CHI,24,TB,18,Neutral,-6,42,1.0
2011_09_CHI_PHI,2011,REG,9,2011-11-07,Monday,20:30,CHI,30,PHI,24,Home,-6,54,1.0
2011_10_DET_CHI,2011,REG,10,2011-11-13,Sunday,16:15,DET,13,CHI,37,Home,24,50,1.0
2011_11_SD_CHI,2011,REG,11,2011-11-20,Sunday,16:15,SD,20,CHI,31,Home,11,51,1.0
2011_12_CHI_OAK,2011,REG,12,2011-11-27,Sunday,16:05,CHI,20,OAK,25,Home,5,45,0.0
2011_13_KC_CHI,2011,REG,13,2011-12-04,Sunday,13:00,KC,10,CHI,3,Home,-7,13,0.0
2011_14_CHI_DEN,2011,REG,14,2011-12-11,Sunday,16:05,CHI,10,DEN,13,Home,3,23,0.0
2011_15_SEA_CHI,2011,REG,15,2011-12-18,Sunday,13:00,SEA,38,CHI,14,Home,-24,52,0.0
2011_16_CHI_GB,2011,REG,16,2011-12-25,Sunday,20:20,CHI,21,GB,35,Home,14,56,0.0
2011_17_CHI_MIN,2011,REG,17,2012-01-01,Sunday,13:00,CHI,17,MIN,13,Home,-4,30,1.0
2012_01_IND_CHI,2012,REG,1,2012-09-09,Sunday,13:00,IND,21,CHI,41,Home,20,62,1.0
2012_02_CHI_GB,2012,REG,2,2012-09-13,Thursday,20:20,CHI,10,GB,23,Home,13,33,0.0
2012_03_STL_CHI,2012,REG,3,2012-09-23,Sunday,13:00,STL,6,CHI,23,Home,17,29,1.0
2012_04_CHI_DAL,2012,REG,4,2012-10-01,Monday,20:30,CHI,34,DAL,18,Home,-16,52,1.0
2012_05_CHI_JAX,2012,REG,5,2012-10-07,Sunday,16:05,CHI,41,JAX,3,Home,-38,44,1.0
2012_07_DET_CHI,2012,REG,7,2012-10-22,Monday,20:30,DET,7,CHI,13,Home,6,20,1.0
2012_08_CAR_CHI,2012,REG,8,2012-10-28,Sunday,13:00,CAR,22,CHI,23,Home,1,45,1.0
2012_09_CHI_TEN,2012,REG,9,2012-11-04,Sunday,13:00,CHI,51,TEN,20,Home,-31,71,1.0
2012_10_HOU_CHI,2012,REG,10,2012-11-11,Sunday,20:20,HOU,13,CHI,6,Home,-7,19,0.0
2012_11_CHI_SF,2012,REG,11,2012-11-19,Monday,20:30,CHI,7,SF,32,Home,25,39,0.0
2012_12_MIN_CHI,2012,REG,12,2012-11-25,Sunday,13:00,MIN,10,CHI,28,Home,18,38,1.0
2012_13_SEA_CHI,2012,REG,13,2012-12-02,Sunday,13:00,SEA,23,CHI,17,Home,-6,40,0.0
2012_14_CHI_MIN,2012,REG,14,2012-12-09,Sunday,13:00,CHI,14,MIN,21,Home,7,35,0.0
2012_15_GB_CHI,2012,REG,15,2012-12-16,Sunday,13:00,GB,21,CHI,13,Home,-8,34,0.0
2012_16_CHI_ARI,2012,REG,16,2012-12-23,Sunday,16:25,CHI,28,ARI,13,Home,-15,41,1.0
2012_17_CHI_DET,2012,REG,17,2012-12-30,Sunday,13:00,CHI,26,DET,24,Home,-2,50,1.0
2013_01_CIN_CHI,2013,REG,1,2013-09-08,Sunday,13:00,CIN,21,CHI,24,Home,3,45,1.0
2013_02_MIN_CHI,2013,REG,2,2013-09-15,Sunday,13:00,MIN,30,CHI,31,Home,1,61,1.0
2013_03_CHI_PIT,2013,REG,3,2013-09-22,Sunday,20:30,CHI,40,PIT,23,Home,-17,63,1.0
2013_04_CHI_DET,2013,REG,4,2013-09-29,Sunday,13:00,CHI,32,DET,40,Home,8,72,0.0
2013_05_NO_CHI,2013,REG,5,2013-10-06,Sunday,13:00,NO,26,CHI,18,Home,-8,44,0.0
2013_06_NYG_CHI,2013,REG,6,2013-10-10,Thursday,20:25,NYG,21,CHI,27,Home,6,48,1.0
2013_07_CHI_WAS,2013,REG,7,2013-10-20,Sunday,13:00,CHI,41,WAS,45,Home,4,86,0.0
2013_09_CHI_GB,2013,REG,9,2013-11-04,Monday,20:30,CHI,27,GB,20,Home,-7,47,1.0
2013_10_DET_CHI,2013,REG,10,2013-11-10,Sunday,13:00,DET,21,CHI,19,Home,-2,40,0.0
2013_11_BAL_CHI,2013,REG,11,2013-11-17,Sunday,13:00,BAL,20,CHI,23,Home,3,43,1.0
2013_12_CHI_STL,2013,REG,12,2013-11-24,Sunday,13:00,CHI,21,STL,42,Home,21,63,0.0
2013_13_CHI_MIN,2013,REG,13,2013-12-01,Sunday,13:00,CHI,20,MIN,23,Home,3,43,0.0
2013_14_DAL_CHI,2013,REG,14,2013-12-09,Monday,20:30,DAL,28,CHI,45,Home,17,73,1.0
2013_15_CHI_CLE,2013,REG,15,2013-12-15,Sunday,13:00,CHI,38,CLE,31,Home,-7,69,1.0
2013_16_CHI_PHI,2013,REG,16,2013-12-22,Sunday,20:30,CHI,11,PHI,54,Home,43,65,0.0
2013_17_GB_CHI,2013,REG,17,2013-12-29,Sunday,16:25,GB,33,CHI,28,Home,-5,61,0.0
2014_01_BUF_CHI,2014,REG,1,2014-09-07,Sunday,13:00,BUF,23,CHI,20,Home,-3,43,0.0
2014_02_CHI_SF,2014,REG,2,2014-09-14,Sunday,20:30,CHI,28,SF,20,Home,-8,48,1.0
2014_03_CHI_NYJ,2014,REG,3,2014-09-22,Monday,20:30,CHI,27,NYJ,19,Home,-8,46,1.0
2014_04_GB_CHI,2014,REG,4,2014-09-28,Sunday,13:00,GB,38,CHI,17,Home,-21,55,0.0
2014_05_CHI_CAR,2014,REG,5,2014-10-05,Sunday,13:00,CHI,24,CAR,31,Home,7,55,0.0
2014_06_CHI_ATL,2014,REG,6,2014-10-12,Sunday,16:25,CHI,27,ATL,13,Home,-14,40,1.0
2014_07_MIA_CHI,2014,REG,7,2014-10-19,Sunday,13:00,MIA,27,CHI,14,Home,-13,41,0.0
2014_08_CHI_NE,2014,REG,8,2014-10-26,Sunday,13:00,CHI,23,NE,51,Home,28,74,0.0
2014_10_CHI_GB,2014,REG,10,2014-11-09,Sunday,20:30,CHI,14,GB,55,Home,41,69,0.0
2014_11_MIN_CHI,2014,REG,11,2014-11-16,Sunday,13:00,MIN,13,CHI,21,Home,8,34,1.0
2014_12_TB_CHI,2014,REG,12,2014-11-23,Sunday,13:00,TB,13,CHI,21,Home,8,34,1.0
2014_13_CHI_DET,2014,REG,13,2014-11-27,Thursday,12:30,CHI,17,DET,34,Home,17,51,0.0
2014_14_DAL_CHI,2014,REG,14,2014-12-04,Thursday,20:25,DAL,41,CHI,28,Home,-13,69,0.0
2014_15_NO_CHI,2014,REG,15,2014-12-15,Monday,20:30,NO,31,CHI,15,Home,-16,46,0.0
2014_16_DET_CHI,2014,REG,16,2014-12-21,Sunday,13:00,DET,20,CHI,14,Home,-6,34,0.0
